Name,sample_size,power
Time above 1000 lx (h),30,1
Time above 1000 lx (h),31,1
Time above 1000 lx (h),32,1
Time above 1000 lx (h),33,1
Time above 1000 lx (h),34,1
Time above 1000 lx (h),35,1
Time above 1000 lx (h),36,1
Time above 1000 lx (h),37,1
Time above 1000 lx (h),38,1
Time above 1000 lx (h),39,1
Time above 1000 lx (h),40,1
Time above 1000 lx (h),41,1
Time above 1000 lx (h),42,1
Time above 1000 lx (h),43,1
Time above 1000 lx (h),44,1
Time above 1000 lx (h),45,1
Time above 1000 lx (h),46,1
Time above 1000 lx (h),47,1
Time above 1000 lx (h),48,1
Time above 1000 lx (h),49,1
Time above 1000 lx (h),50,1
Time above 250 lx (h),3,1
Time above 250 lx (h),4,1
Time above 250 lx (h),5,1
Time above 250 lx (h),6,1
Time above 250 lx (h),7,1
Time above 250 lx (h),8,1
Time above 250 lx (h),9,1
Time above 250 lx (h),10,1
Time above 250 lx (h),11,1
Time above 250 lx (h),12,1
Time above 250 lx (h),13,1
Time above 250 lx (h),14,1
Time above 250 lx (h),15,1
Time above 250 lx (h),16,1
Time above 250 lx (h),17,1
Time above 250 lx (h),18,1
Time above 250 lx (h),19,1
Time above 250 lx (h),20,1
Time above 250 lx (h),21,1
Time above 250 lx (h),22,1
Time above 250 lx (h),23,1
Time above 250 lx (h),24,1
Time above 250 lx (h),25,1
Time above 250 lx (h),26,1
Time above 250 lx (h),27,1
Time above 250 lx (h),28,1
Time above 250 lx (h),29,1
Time above 250 lx (h),30,1
Time above 250 lx (h),31,1
Time above 250 lx (h),32,1
Time above 250 lx (h),33,1
Time above 250 lx (h),34,1
Time above 250 lx (h),35,1
Time above 250 lx (h),36,1
Time above 250 lx (h),37,1
Time above 250 lx (h),38,1
Time above 250 lx (h),39,1
Time above 250 lx (h),40,1
Time above 250 lx (h),41,1
Time above 250 lx (h),42,1
Time above 250 lx (h),43,1
Time above 250 lx (h),44,1
Time above 250 lx (h),45,1
Time above 250 lx (h),46,1
Time above 250 lx (h),47,1
Time above 250 lx (h),48,1
Time above 250 lx (h),49,1
Time above 250 lx (h),50,1
